id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,PM_ug/m3,PM_ug/m3_QC_level,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,groups
37,College Preparatory School,collegeprep,971,37.848,-122.240,4.000000,93.145149,2017-09-01,2021-06-29 12:00:00,-999,1,-999,1,-999,1,"['Alameda', ""SF Nodes - Anna's Subnetwork""]"
38,St. Elizabeth High School,StElizabeth,960,37.779,-122.222,11.000000,16.323420,2015-11-04,2022-12-06 04:00:00,16.5597812925,1a,-999,1,357.40259722848316,1a,['Alameda']
39,Hall of Justice,Justice,996,37.775,-122.404,,4.198341,2017-11-09,2022-06-09 09:00:00,-999,1,-999,1,-999,1,"['SanFrancisco', ""SF Nodes - Anna's Subnetwork""]"
40,Head Royce School,headroyce,1026,37.809,-122.205,7.000000,115.076660,2012-10-05,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Alameda']
41,Richmond Field Station (RFS),fieldstation,1016,37.913,-122.336,4.900000,4.422341,2017-10-25,2022-09-20 06:00:00,11.763435599999998,1,-999,1,-999,1,"['ContraCosta', 'co-location', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
42,EBMUD,Ebmud,950,37.815,-122.282,3.000000,4.148859,2014-11-10,2021-12-13 05:00:00,-999,1,-999,1,-999,1,"['Alameda', 'co-location', ""SF Nodes - Anna's Subnetwork""]"
43,BAAQMD sanpablo,BAAQMD_sanpablo,979,37.960,-122.357,5.440000,10.443056,2017-09-13,2022-06-05 23:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'co-location', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
44,Albany High School,Albany,988,37.896,-122.292,6.350000,25.554003,2017-08-18,2022-05-26 17:00:00,-999,1,-999,1,-999,1,"['Alameda', ""Richmond 1 - Naomi's Subnetwork""]"
45,Laney College,Laney,963,37.794,-122.263,4.156075,3.727162,2015-10-29,2022-06-09 15:00:00,-999,1,-999,1,-999,1,"['Alameda', 'co-location', ""SF Nodes - Anna's Subnetwork""]"
46,SF Hospital Bldg 5,hospital,995,37.756,-122.405,52.000000,23.945240,2017-03-15,2022-08-05 12:00:00,-999,1,-999,1,-999,1,"['SanFrancisco', ""SF Nodes - Anna's Subnetwork""]"
47,Exploratorium Embarcadero,Exploratorium Embarcadero,959,37.801,-122.399,5.000000,2.982486,2014-09-25,2021-12-13 13:00:00,-999,1,-999,1,-999,1,"[""SF Nodes - Anna's Subnetwork""]"
48,Exploratorium Bay,Exploratorium Bay,953,37.802,-122.397,9.000000,3.000000,2014-09-25,2022-12-06 04:00:00,-999,1,-999,1,-999,1,"['SanFrancisco', ""SF Nodes - Anna's Subnetwork""]"
49,Burckhalter Elementary,Burckhalter,1037,37.775,-122.167,8.000000,88.480453,2018-04-23,2022-12-05 14:00:00,-999,1,0.08896790459381056,1a,-999,1,['Alameda']
50,El Cerrito High School,elcerrito,987,37.908,-122.295,10.732000,34.613781,2013-02-13,2022-07-16 06:00:00,17.682496649999997,1,-999,1,341.3173833696891,1,"['ContraCosta', ""Richmond 1 - Naomi's Subnetwork""]"
51,El Sobrante,elsobrante,989,37.974,-122.275,,128.733475,2018-04-27,2022-08-20 17:00:00,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
52,Kensington Hilltop Elementary School,kensington,790,37.900,-122.263,1.420000,301.481934,2018-05-05,2019-12-12 00:00:00,76.19738174999999,1,0.10156937879564826,1a,421.4019744605449,1a,['ContraCosta']
53,CARB,Sacramento,658,38.568,-121.493,,5.049983,2018-05-09,2021-03-28 20:00:00,-999,1,-999,1,-999,1,['Sacramento']
54,Kaiser Building,Kaiser,1015,37.809,-122.263,119.000000,3.728773,2018-05-10,2022-07-27 09:00:00,-999,1,-999,1,-999,1,"['Alameda', ""SF Nodes - Anna's Subnetwork""]"
55,Chabot Space & Science Center,chabot,982,37.819,-122.181,9.000000,466.646179,2014-08-15,2022-11-01 15:00:00,65.75781554999999,1,-999,1,424.79821174713925,1a,['Alameda']
56,LBNL Bldg 70,LBNL,985,37.876,-122.252,10.300000,234.966629,2014-08-14,2021-04-02 14:00:00,-999,1,-999,1,-999,1,"['Alameda', ""SF Nodes - Anna's Subnetwork""]"
57,Hogan Middle School,Hogan (vallejo),965,38.101,-122.214,11.709000,19.140265,2018-06-11,2022-12-06 04:00:00,3.931837474576271,1,-999,1,509.21687204968623,1a,['Vallejo']
58,Cooper Elementary School,Cooper (vallejo),952,38.126,-122.240,7.529000,36.245808,2018-06-11,2021-05-26 14:00:00,22.589817945,1a,-999,1,514.4382958467859,1,['Vallejo']
59,Highland Elementary School,Highland(Vallejo),966,38.114,-122.234,5.766000,22.237507,2018-06-11,2021-06-11 06:00:00,-999,1,-999,1,-999,1,['Vallejo']
60,Jesse Bethel High School,Bethel High School (Vallejo),1002,38.121,-122.205,9.318000,81.352669,2018-06-11,2021-08-13 11:00:00,3.9992464067796605,1,-999,1,442.7775054104281,1a,['Vallejo']
61,John W. Finney High School,Finney(Vallejo),999,38.133,-122.249,6.815000,11.232645,2018-06-12,2021-06-07 12:00:00,-999,1,-999,1,-999,1,['Vallejo']
62,Elsa Widenmann Elementary School,Elsa (vallejo),951,38.147,-122.245,4.260000,23.243189,2018-06-12,2021-12-29 00:00:00,-999,1,-999,1,-999,1,['Vallejo']
63,Dan Mini Elementary School,Dan (vallejo),949,38.150,-122.259,3.383000,6.317940,2018-06-12,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Vallejo']
64,Federal Terrace Elementary School,Federal (vallejo),1031,38.123,-122.269,1.540000,15.790818,2018-06-12,2022-12-06 04:00:00,-999,1,-999,1,-999,1,['Vallejo']
65,Mare Island Health and Fitness Academy,MIHFA(Vallejo),961,38.095,-122.274,4.577000,9.791098,2018-06-12,2022-12-06 04:00:00,34.8541071675,1a,-999,1,447.85670209094803,1a,['Vallejo']
66,Crockett Elementary School,Crockett,889,29.774,-95.380,4.572000,16.260365,2017-12-04,2021-10-27 11:00:00,7.448493857142856,1,0.03377445200546261,1a,403.4566059562433,1a,['Houston']
67,Field Elementary School,Field Elementary,890,29.801,-95.389,4.630000,17.444132,2017-12-04,2021-10-27 10:00:00,-999,1,-999,1,-999,1,['Houston']
68,Milroy Community Center,Milroy,894,29.793,-95.400,1.753000,17.894276,,2021-10-27 10:00:00,-999,1,-999,1,-999,1,['Houston']
69,Moody Community Center,Moody Community Center,895,29.794,-95.365,1.905000,15.298826,2017-12-04,2020-08-26 07:00:00,-999,1,-999,1,-999,1,['Houston']
70,Casa de Amigos Health Center,La Casa de los Amigos,885,29.776,-95.362,7.924800,15.083117,2017-11-30,2021-10-27 11:00:00,-999,1,-999,1,413.52895665997926,1a,['Houston']
